record_id,record_type,source_id,legal_issue,admissibility,status,normalized_value
F001,fact,,,ADMISSIBLE,ACTIVE,"Apex Industrial Tools, Inc. designed and manufactured the MX-400 heated degreasing unit."
F002,fact,,,ADMISSIBLE,ACTIVE,The unit involved in this action bears serial number MX400-117.
F003,fact,,,ADMISSIBLE,ACTIVE,Titan Fabrication purchased serial number MX400-117 directly from Apex on 2017-12-12.
F004,fact,PX-001,,ADMISSIBLE,ACTIVE,The authenticated purchase invoice is Record Exhibit PX-001.
F005,fact,PX-002,,ADMISSIBLE,ACTIVE,The authenticated photograph of the serial plate is Record Exhibit PX-002.
F006,fact,,,ADMISSIBLE,ACTIVE,Jordan Lane operated MX400-117 at Titan Fabrication from 2018-01-08 through 2022-12-16.
F007,fact,,,ADMISSIBLE,ACTIVE,Lane operated the unit four days per week.
F008,fact,,,ADMISSIBLE,ACTIVE,Lane operated the unit for two hours per operating day.
F009,fact,,,ADMISSIBLE,ACTIVE,Titan operated the unit at 75 degrees Celsius.
F010,fact,,,ADMISSIBLE,ACTIVE,"When operated above 60 degrees Celsius, the unit’s ZetaClean-9 solvent generated airborne Zeta-9 vapor."
F011,fact,,,ADMISSIBLE,ACTIVE,Apex’s premarket engineering report stated that operation above 60 degrees Celsius required local exhaust ventilation and a fitted respirator.
F012,fact,PX-003,,ADMISSIBLE,ACTIVE,The engineering report is Record Exhibit PX-003.
F013,fact,PX-003,,ADMISSIBLE,ACTIVE,PX-003 is an authenticated Apex business record.
F014,fact,,,ADMISSIBLE,ACTIVE,The warning label supplied with MX400-117 stated only: “Use in a ventilated area.”
F015,fact,,,ADMISSIBLE,ACTIVE,The label did not identify Zeta-9 vapor.
F016,fact,,,ADMISSIBLE,ACTIVE,The label did not require local exhaust ventilation.
F017,fact,,,ADMISSIBLE,ACTIVE,The label did not require respiratory protection.
F018,fact,,,ADMISSIBLE,ACTIVE,Titan did not install local exhaust ventilation at Lane’s workstation.
F019,fact,,,ADMISSIBLE,ACTIVE,Lane did not wear a respirator while operating the unit.
F020,fact,,,ADMISSIBLE,ACTIVE,Lane testified that Lane read and followed the supplied warning.
F021,fact,,,ADMISSIBLE,ACTIVE,Lane testified that Lane would have used a respirator and requested local exhaust ventilation if the label had identified the toxic-vapor hazard and required those precautions.
F022,fact,,,ADMISSIBLE,ACTIVE,Lane was diagnosed with chemically induced bronchiolitis on 2023-03-14.
F023,fact,,,ADMISSIBLE,ACTIVE,Lane has never smoked tobacco.
F024,fact,,,ADMISSIBLE,ACTIVE,Lane’s authenticated medical history contains no tobacco-use history.
F025,fact,,,ADMISSIBLE,ACTIVE,Dr. Mira Rao is Lane’s treating pulmonologist.
F026,fact,,,ADMISSIBLE,ACTIVE,The parties stipulate that Dr. Rao is qualified under Meridian Evidence Rule 702.
F027,fact,,,ADMISSIBLE,ACTIVE,Dr. Rao opines to a reasonable degree of medical certainty that Lane’s repeated occupational exposure to Zeta-9 vapor was a substantial factor in causing Lane’s bronchiolitis.
F028,fact,PX-004,,ADMISSIBLE,ACTIVE,Dr. Rao’s report is Record Exhibit PX-004.
F029,fact,,,ADMISSIBLE,ACTIVE,Dr. Rao’s methodology and opinion are admissible for purposes of this benchmark.
F030,fact,,,ADMISSIBLE,ACTIVE,Apex expert Dr. Nolan Price opines that Lane’s condition may have resulted from smoking.
F031,fact,,,ADMISSIBLE,ACTIVE,Dr. Price identifies no evidence that Lane ever smoked.
F032,fact,DX-001,,ADMISSIBLE,ACTIVE,Dr. Price’s report is Record Exhibit DX-001.
F033,fact,DX-001,,ADMISSIBLE,ACTIVE,The parties stipulate that Dr. Price is qualified and that DX-001 is admissible.
F034,fact,,,ADMISSIBLE,ACTIVE,The conflicting causation opinions create a factual dispute for the factfinder under the closed-world law stated below.
